Hour,Minutes,Sensor_alpha,Sensor_beta,Sensor_gamma,Sensor_alpha_plus,Sensor_beta_plus,Sensor_gamma_plus,prediccio
21,31,-72.08358487232044,-11.434977441229432,-52.9617428108554,-72.69638489124168,145.29922715050168,-143.85624268199984,1
21,3,-193.6199802062626,40.13708050140161,85.41924440271838,-26.266801499519328,-125.3912372350252,80.90497332151413,1
22,31,42.57838211515613,-51.6134016768775,125.05561141969136,182.136745856363,-9.72695105917094,-114.91340177688434,0
21,25,-64.15095086698211,287.3067522372799,-70.96547339958175,13.78973764078414,38.18726020364926,137.76169064445023,2
18,11,193.75078715895003,-61.9895334623135,-110.3470662000078,-16.864786148514565,148.5419155302292,232.42461595327416,0
21,5,200.151154888082,-69.82808181291294,-103.90927478147168,58.30712711301253,6.339606173702096,-58.21723691080781,0
18,41,-172.17684560695434,27.400689987531837,-142.22397792498123,-190.3503204761862,-79.86678755467257,104.10443742212254,0
21,39,164.4274440334276,-27.26667069000793,41.96183478567563,-19.59753747813462,-40.36774060769414,205.7928989102766,1
22,33,49.137675913021006,-219.45025158751335,-122.87416708439385,178.92330922190612,-51.77090193695597,-113.0310122020889,0
18,28,-21.09806533845721,-156.637421446005,7.04320224241356,8.242528087139323,-29.718880425104704,58.15663285631357,0
18,52,-22.67836128199932,2.3574256199867083,64.07885510424012,-308.1640676969297,79.81350749163634,-55.49033519155104,2
21,23,231.01239281396067,-75.97081973402733,-53.59659586767946,-71.11633798628384,8.123925707858284,-161.0295827556622,1
20,34,12.791158925487414,-255.3477920009317,-147.36779866559078,146.98648448665608,22.077330435451085,24.40677998380665,0
21,45,-15.524888046528728,-29.66700243243157,12.591772977881789,-24.79320337544061,84.91496991156889,258.21720910329987,1
21,8,127.9345279263698,26.580746026771703,23.23960848661749,-151.1156146472181,-10.136996546661118,84.53450038970499,1
20,28,-107.63937434733124,-168.86576228409774,-69.37207849714501,65.98076906646138,122.03727264416236,-93.79929174825963,0
21,58,-36.1699351029751,96.27722075311549,-306.7352221844066,-78.8431989957342,34.50831263949342,-30.400500812195496,1
20,50,2.032483137325175,139.90631664073797,-19.615172330269047,-46.79366662974965,-4.528206775512344,-4.8879705661398924,0
19,34,-217.31350507195455,-116.0833192480934,-72.34357463280362,98.01236302459904,-19.960640053591234,-103.47693885790868,0
21,8,32.979513260929195,-68.54310424788042,-55.38569746278703,-121.93136568570908,84.78003040205233,86.93055662626314,1
18,4,-113.05436381117036,-383.2030461753855,-237.18326308216712,270.16625929194555,-156.21410300023578,59.70674017962716,0
18,33,-85.62037527232069,-69.95273433258181,83.57796680215006,115.2067695169538,-59.72321172100376,161.7594597914003,0
22,46,-68.2454810553611,73.8829869143777,111.08039193665736,67.66952787887881,-22.837566275483407,-161.6221196774725,0
21,15,-170.4101055848309,-26.950115585135254,70.60110522227926,-5.407294727172795,26.59186884256585,-68.52998412628834,1
21,36,-102.42702343344592,-146.49483098679002,2.3727239927258226,32.70041658515983,114.938336179879,72.89374438911663,1
19,51,22.323174877382137,-144.87691484362512,-24.458720770394702,-30.8252015252608,-102.5433801067245,-10.673549790056684,0
22,47,60.93525084725806,116.10147376746474,43.78051633388927,-8.351288938987834,-63.09236888728445,33.570443327868055,0
21,41,54.99308189459264,222.65477738712264,207.2345658370412,-115.91895564558727,84.82024393518958,42.04473271978084,1
21,9,22.6292261475848,114.60445564189008,149.29685952201262,-53.225552181850986,2.131424719658497,1.0154424353779623,1
19,25,82.36741892734987,-119.24891779893916,-63.50528457913411,-120.55124637887108,-163.7680543053821,-91.20034418950486,0
21,22,91.434570183206,-124.99935912588192,4.244927298475409,-42.62299668160989,1.3148219419490337,-72.98067519169331,1
21,41,45.93995811796399,279.83844805306387,129.83673788957643,-180.0812026915122,-153.6358587478184,72.39230026345818,1
21,4,-87.7457061384062,206.3848366844347,128.07848840112433,-145.38002932061227,-161.7578080631949,-32.87463082657119,1
21,43,-31.04467846428066,172.8719064126505,148.12265602000838,-88.09372703537612,-25.522401061281336,-238.52649232451725,1
18,37,-180.2184647087288,-3.5554940953724024,-87.3578680936149,3.0199891710888105,-32.921793271691605,83.78587740445941,0
21,0,114.01332558388552,-76.14577302199206,5.255243538394849,5.404175192475435,75.3909655592969,-118.18306521552624,1
19,24,-174.86917009306694,75.3364366260664,-120.3620116074535,-0.0245301997803482,18.65332744926996,-155.3146832333438,2
15,8,361.7641601075053,-90.667587092916,-69.05941800334998,25.613970077553827,158.01240652669927,-11.188123526211614,1
21,1,-275.5279953037696,187.46733571058945,82.24241173965007,-139.39018624397832,20.665655570104484,-80.11312098793603,1
2,41,59.49404969593643,-221.4012170570302,28.865201528664507,80.50417176503726,97.80889844230644,11.650485836138442,0
19,1,65.00582928486519,-96.88432086293174,-116.07669548517188,145.10216040491315,-12.598156718167564,-191.55879302433183,0
21,53,-194.4830104318636,-290.4600113346278,-204.5274129178121,251.01148469658864,124.02353400907025,158.33793526752345,0
10,32,24.67440817879842,47.88378889229322,53.68362871925978,-69.64432821159396,-149.14191575549555,38.660427335869706,1
21,2,-47.3065429529031,-81.88909644662938,-47.008969932645954,-89.62351492215282,-120.50113044246076,39.95284159426964,1
18,46,97.49561645933144,-258.06116213677865,-141.23592663028424,152.4223664582591,148.2160876508536,-32.898443126583416,0
16,48,11.249219274607656,88.57820362116468,154.62417126785627,-34.96281757399882,-107.78626148204198,4.885474928146439,1
20,6,-19.993233134214343,-1.9886143785582624,146.81988911703004,315.2378947088062,75.34972645056547,-24.93890707365139,0
21,4,-29.844821349549782,-172.83055848025873,57.68499395202432,34.50217593101221,-53.64298364158665,85.52741216873392,1
21,29,-158.2075709735396,36.13947672821481,139.29498064051975,9.236362004359831,14.597575374678422,-306.35740762148623,1
21,7,-137.9205978880341,-135.4331600322461,21.46222264610843,45.53051617012384,-131.18098422928944,-24.64849715778156,1
4,17,28.789457145384688,-206.79798148353123,-187.1609783253201,-1.204190563139984,-37.402455688957005,56.89719766291967,0
21,53,-7.160191413402689,79.0712282145992,-291.028039187247,-59.62003108565881,193.1535555301214,24.727851310660657,1
21,53,-182.49529911654707,-175.96057940312392,30.670452402037277,106.0000882762274,-193.2198901775378,135.24544657884087,1
20,31,-93.68331572648611,-211.8226208985764,-121.72282688453424,108.87047503163716,0.2072743805678875,-115.14023393249803,0
21,22,11.566885316905717,-41.13534275122569,-74.50895828349317,-41.9363844812209,149.60410024194502,-117.70704316745352,1
21,51,27.101633437063803,-173.92778796504385,-27.179401551307013,63.8035039230775,-32.707010450524166,47.3516607621007,1
22,7,114.43501943949998,217.38776869098984,-324.5204963659328,381.0681928565463,-63.23490421898159,258.1068973209701,2
21,57,-112.15228311274257,-45.64276250518751,131.425735952923,23.62664511884589,-110.32792750564148,52.01461894928025,1
21,46,41.0548970804929,138.42090937678594,66.83092024544968,-100.97406274248976,-15.72926689527882,13.736757310975223,1
19,2,2.7467829906889047,-89.24187862599244,-140.14807552889573,56.49996544045675,105.16768644793572,-41.05159445484372,0
20,12,122.79716392376392,-138.37007846028993,155.66838328852018,183.62689723502623,-78.01506405648789,69.52347640006892,0
21,23,0.8286046789392681,-2.18739558102089,42.84361028548403,-63.70861899790894,-199.45213401228295,-14.619487372915554,1
19,18,35.60036589904565,-111.33181521418224,20.241199458776038,-38.78997466126855,-57.55942742006109,49.03401869248422,0
21,37,-55.65595525115791,147.07134542288802,137.69293397270928,-89.17531856770421,78.1946187166684,-15.083776769945622,1
22,3,-176.06677201504309,-169.7027077587839,94.42761338199917,176.95613644133107,-112.69294291918123,-31.08875950165019,0
20,5,137.57800148691558,16.789453907582608,2.6325902235349474,53.84297637054614,-212.64665590700363,15.6988656230313,0
21,19,251.81413912634812,-79.02782749455862,-65.85172252439331,-58.31460665780259,-102.32759200979665,-67.64832340414802,1
21,33,50.90508106447113,-11.9103167232111,-168.9111996680675,-22.96229864557148,44.71164691094625,-51.18986872589913,1
21,33,132.29934504522504,196.1116234589759,76.36910861367699,-169.85975566465635,-84.5036286887938,80.17747978325657,1
20,30,-6.671136209979377,-38.24529546180784,4.073147119840403,-161.7277191781197,-148.48616579022044,-44.67330741041217,0
20,19,12.816596785190862,40.842563849913205,-161.2512391719329,77.38083636387807,38.30131399676262,137.58260986579475,0
19,16,-72.84169683095978,-94.3017084239644,-132.65103273244034,20.78110575537985,57.17965497908064,39.91789170885389,0
18,30,-84.30951602904202,209.40724686093296,11.250024171955598,-129.68660953010476,-75.98046677722262,-108.45309739319468,0
18,0,-65.88206270504165,-56.17949578476391,96.17789930472752,-86.01962494595085,-149.56590267743675,-85.49503452839335,0
20,8,113.86137459492755,-6.187686566566186,-68.42702226675101,-45.7441348539271,-100.67583459906275,-94.535635774393,0
2,44,-84.57597639879391,82.52657799053375,-78.32164289688181,-27.69694466494072,-0.1947065962963915,83.36509207295542,0
21,58,72.20250285529137,6.999214867425185,-80.18562283629048,-116.52716772911896,83.89622578084038,-101.59030628370115,1
21,0,24.596888171116124,208.6328168586964,249.11396529679567,-70.01654428907854,46.55359981851765,-71.32409236568236,1
21,7,62.67034000044482,112.98248401609597,125.97493940640656,-78.45521789970557,187.8499926257921,91.44785250208318,1
22,52,-30.66747651880265,-121.30453836406129,167.01227741845523,95.22310035586388,206.202526695298,-79.21222134756954,0
21,27,-128.1723488937586,160.8058786710132,128.8784809330884,-77.91407945571297,-31.812915072784985,127.73587826363584,1
19,3,41.60244794486667,-50.266381892559096,150.62023663535774,154.47894873506507,-91.90548323294551,90.52125677331556,0
20,20,3.222348613853182,-40.48857289651245,127.98758791924512,58.70926933975299,-32.279673706999304,-44.300612390800296,0
12,31,-142.9791723908105,8.466357788021128,49.4644177319208,-62.38607228296095,-30.08053488881619,48.77704982127092,1
19,30,146.08180655297843,-125.86109814463305,162.57143656567897,280.47368970073785,21.41991746022044,-51.85936154152876,0
21,54,-55.47662997538043,131.05476015510243,-24.200287542596456,-107.2254131384188,87.2495733508247,-108.60957825670032,1
18,23,17.719088798986455,-33.80495588602515,-36.61759540321079,45.38515675474592,70.8089479054199,-88.22760785444369,0
21,44,-51.13591530522822,-134.70930100443826,-1.9470696017624407,5.8541953953389125,108.08437959894523,96.3372574938772,1
21,50,176.26459177838305,-128.65827705052354,-101.13946890061663,44.88791147192592,-45.57949429217313,84.05107134563343,1
21,4,-96.4994418121962,6.517569873290774,138.19324517243354,12.214380625060803,-11.1695093858254,-8.372732948549434,1
19,42,-66.28263937001016,1.1996436407304525,48.703211184816574,108.82749677699586,-56.144647225633385,75.76964938560319,0
20,51,117.16547456109458,-189.07972621383007,76.41632010568944,65.67449001984212,70.73099073947161,-9.295888766709805,0
20,43,19.617109760911998,-266.335865760592,-192.71209228460972,114.07357330826272,83.45813476273614,58.531713910293824,0
6,46,93.56597408657836,120.2790010680136,35.86464041091005,33.64252688895088,-52.449606970435966,107.67387786733232,0
21,32,-6.233009964157652,20.04441469022128,-219.94049586013577,-12.834891592436904,53.51131791425991,13.788682829061438,1
